PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0439-4705,2024-07-01 21:00:00+00:00,1,0.8654906960969986
MDH-0456-1935,2024-07-01 19:00:00+00:00,0,0.8090231461198725
MDH-0459-3201,2024-07-01 20:00:00+00:00,0,0.0847109567848775
MDH-0464-5451,2024-07-01 21:00:00+00:00,0,0.011386284631178804
MDH-0484-2565,2024-07-01 19:00:00+00:00,0,0.13889397864559455
MDH-0501-3188,2024-07-01 21:00:00+00:00,0,0.22915331043212417
MDH-0502-2932,2024-07-01 20:00:00+00:00,0,0.2673683481801828
MDH-0509-1157,2024-07-01 20:00:00+00:00,1,0.39451812593873614
MDH-0512-8530,2024-07-01 20:00:00+00:00,0,0.8068188981039446
MDH-0522-4755,2024-07-01 20:00:00+00:00,0,0.23224505275924195
MDH-0524-6939,2024-07-01 20:00:00+00:00,1,0.9135400893917562
MDH-0531-1007,2024-07-01 20:00:00+00:00,1,0.9572109903813834
MDH-0540-9035,2024-07-01 20:00:00+00:00,1,0.9041107326527953
MDH-0543-3371,2024-07-01 20:00:00+00:00,1,0.9233109014277602
MDH-0544-4361,2024-07-01 22:00:00+00:00,1,0.4637213169228019
MDH-0552-1511,2024-07-01 20:00:00+00:00,1,0.940038966637279
MDH-0576-8775,2024-07-01 20:00:00+00:00,1,0.8166772736035711
MDH-0587-0209,2024-07-01 20:00:00+00:00,1,0.835892824854279
MDH-0615-1546,2024-07-01 19:00:00+00:00,1,0.9533581010811235
MDH-0630-1960,2024-07-01 19:00:00+00:00,1,0.5745037150147059
MDH-0644-6029,2024-07-01 20:00:00+00:00,0,0.10686542714258046
MDH-0649-7139,2024-07-01 20:00:00+00:00,0,0.46547049194133067
MDH-0655-5549,2024-07-01 21:00:00+00:00,0,0.60640643993755
MDH-0660-0737,2024-07-01 20:00:00+00:00,1,0.7149479435045567
MDH-0672-3343,2024-07-01 19:00:00+00:00,1,0.8337342213975095
MDH-0675-3111,2024-07-01 21:00:00+00:00,1,0.9824568746886064
MDH-0680-1390,2024-07-01 19:00:00+00:00,0,0.36249815421539555
MDH-0687-9572,2024-07-01 19:00:00+00:00,0,0.2597122922375035
MDH-0691-2169,2024-07-01 22:00:00+00:00,1,0.251552590441687
MDH-0699-5273,2024-07-01 20:00:00+00:00,0,0.36488975669801627
MDH-0733-7690,2024-07-01 20:00:00+00:00,0,0.03263278367508276
MDH-0750-9951,2024-07-01 19:00:00+00:00,1,0.9147291640536805
MDH-0751-0007,2024-07-01 21:00:00+00:00,1,0.8154993238853903
MDH-0783-0736,2024-07-01 20:00:00+00:00,1,0.9011755517926562
MDH-0785-1866,2024-07-01 20:00:00+00:00,0,0.07437526437769745
MDH-0788-7071,2024-07-01 21:00:00+00:00,1,0.8032112639070889
MDH-0788-9544,2024-07-01 19:00:00+00:00,0,0.23960372791809803
MDH-0834-1219,2024-07-01 19:00:00+00:00,1,0.9724400806804805
MDH-0857-4646,2024-07-01 20:00:00+00:00,0,0.7759966682343485
MDH-0866-2449,2024-07-01 21:00:00+00:00,1,0.8888537336745761
MDH-0871-7466,2024-07-01 19:00:00+00:00,1,0.7859140881496751
MDH-0893-9206,2024-07-01 21:00:00+00:00,1,0.9729976998296265
MDH-0911-1250,2024-07-01 20:00:00+00:00,1,0.17645292055689632
MDH-0912-0396,2024-07-01 19:00:00+00:00,0,0.43155311023715637
MDH-0939-4930,2024-07-01 20:00:00+00:00,1,0.9716237909526406
MDH-0942-2205,2024-07-01 20:00:00+00:00,1,0.767841226237788
MDH-0961-9384,2024-07-01 19:00:00+00:00,1,0.6422889695612405
MDH-0971-0572,2024-07-01 23:00:00+00:00,1,0.9123460862230481
MDH-0975-3050,2024-07-01 22:00:00+00:00,1,0.6832560520699791
MDH-0977-6746,2024-07-01 20:00:00+00:00,0,0.6878058922311825
MDH-0977-9342,2024-07-01 19:00:00+00:00,1,0.9418445767612633
MDH-0986-8321,2024-07-01 20:00:00+00:00,1,0.8229963688607458
MDH-0990-4477,2024-07-01 20:00:00+00:00,1,0.719214929090612
MDH-1004-4825,2024-07-01 23:00:00+00:00,0,0.284233367012789
MDH-1017-4596,2024-07-01 22:00:00+00:00,1,0.7424594564395908
MDH-1020-2121,2024-07-01 23:00:00+00:00,1,0.9792976706460197
