PARTICIPANTIDENTIFIER,time,action,p_send
MDH-0464-5451,2024-07-09 20:00:00+00:00,1,0.9653031540568892
MDH-0469-9844,2024-07-09 19:00:00+00:00,0,0.43640955564352046
MDH-0484-2565,2024-07-09 19:00:00+00:00,1,0.9742304508205578
MDH-0501-3188,2024-07-09 21:00:00+00:00,1,0.8594860570310605
MDH-0502-2932,2024-07-09 19:00:00+00:00,0,0.3216395120138797
MDH-0509-1157,2024-07-09 20:00:00+00:00,1,0.37517554053050267
MDH-0512-8530,2024-07-09 19:00:00+00:00,0,0.508201102229796
MDH-0522-4755,2024-07-09 20:00:00+00:00,0,0.012534264323439402
MDH-0524-6939,2024-07-09 19:00:00+00:00,1,0.9345987184893138
MDH-0531-1007,2024-07-09 19:00:00+00:00,0,0.5618045003586234
MDH-0540-9035,2024-07-09 19:00:00+00:00,1,0.963798056469843
MDH-0543-3371,2024-07-09 19:00:00+00:00,0,0.8651864312030085
MDH-0544-4361,2024-07-09 22:00:00+00:00,1,0.34819235021627004
MDH-0552-1511,2024-07-09 19:00:00+00:00,0,0.07250441344475476
MDH-0576-8775,2024-07-09 19:00:00+00:00,0,0.6770586612711798
MDH-0587-0209,2024-07-09 20:00:00+00:00,1,0.5157588780238953
MDH-0615-1546,2024-07-09 19:00:00+00:00,1,0.6008676525455582
MDH-0630-1960,2024-07-09 19:00:00+00:00,1,0.7577806709300392
MDH-0644-6029,2024-07-09 19:00:00+00:00,1,0.5901773143443338
MDH-0649-7139,2024-07-09 19:00:00+00:00,0,0.18904194524392903
MDH-0655-5549,2024-07-09 21:00:00+00:00,0,0.5253604741844317
MDH-0660-0737,2024-07-09 19:00:00+00:00,1,0.5751813588092534
MDH-0672-3343,2024-07-09 19:00:00+00:00,0,0.04291691888366562
MDH-0675-3111,2024-07-09 20:00:00+00:00,0,0.021898814266635674
MDH-0680-1390,2024-07-09 19:00:00+00:00,0,0.021904350630366977
MDH-0687-9572,2024-07-09 19:00:00+00:00,1,0.5844685447648656
MDH-0691-2169,2024-07-09 00:00:00+00:00,1,0.34646628992894885
MDH-0699-5273,2024-07-09 19:00:00+00:00,0,0.4643492514762627
MDH-0733-7690,2024-07-09 19:00:00+00:00,0,0.775685430367067
MDH-0750-9951,2024-07-09 19:00:00+00:00,0,0.05448728833203324
MDH-0783-0736,2024-07-09 20:00:00+00:00,1,0.9069633469807401
MDH-0785-1866,2024-07-09 19:00:00+00:00,0,0.031773802377819106
MDH-0788-7071,2024-07-09 20:00:00+00:00,1,0.8035091390933424
MDH-0788-9544,2024-07-09 19:00:00+00:00,1,0.5017880827746866
MDH-0834-1219,2024-07-09 19:00:00+00:00,1,0.4111500106430442
MDH-0857-4646,2024-07-09 19:00:00+00:00,1,0.3827631047636004
MDH-0866-2449,2024-07-09 20:00:00+00:00,0,0.35745645282140703
MDH-0871-7466,2024-07-09 19:00:00+00:00,1,0.5600867389346978
MDH-0893-9206,2024-07-09 21:00:00+00:00,0,0.6309540458864625
MDH-0911-1250,2024-07-09 19:00:00+00:00,1,0.8602928378484582
MDH-0912-0396,2024-07-09 19:00:00+00:00,0,0.10564300973758473
MDH-0939-4930,2024-07-09 20:00:00+00:00,0,0.33444906920176176
MDH-0942-2205,2024-07-09 20:00:00+00:00,0,0.3316614431237006
MDH-0961-9384,2024-07-09 19:00:00+00:00,0,0.025791257731031674
MDH-0971-0572,2024-07-09 22:00:00+00:00,0,0.4649283712937499
MDH-0975-3050,2024-07-09 20:00:00+00:00,1,0.8112427046099588
MDH-0977-6746,2024-07-09 19:00:00+00:00,1,0.8137653431711176
MDH-0977-9342,2024-07-09 19:00:00+00:00,1,0.39612691007468526
MDH-0986-8321,2024-07-09 20:00:00+00:00,1,0.7432444881713094
MDH-0990-4477,2024-07-09 19:00:00+00:00,1,0.5579485446278485
MDH-1004-4825,2024-07-09 22:00:00+00:00,0,0.013505434650094754
MDH-1017-4596,2024-07-09 22:00:00+00:00,1,0.6244286723779879
MDH-1020-2121,2024-07-09 22:00:00+00:00,0,0.6357255199535109
MDH-1020-2982,2024-07-09 20:00:00+00:00,0,0.4165638183919116
MDH-1038-8890,2024-07-09 19:00:00+00:00,0,0.7416619816918848
MDH-1042-1368,2024-07-09 19:00:00+00:00,0,0.33874928169999985
MDH-1058-5917,2024-07-09 19:00:00+00:00,0,0.5088358042032037
MDH-1072-8823,2024-07-09 19:00:00+00:00,0,0.5158320541382924
MDH-1082-6404,2024-07-09 19:00:00+00:00,1,0.8013361995282597
MDH-1089-3562,2024-07-09 20:00:00+00:00,1,0.6285408098188985
MDH-1092-0136,2024-07-09 19:00:00+00:00,1,0.34711724199861327
MDH-1101-8818,2024-07-09 19:00:00+00:00,0,0.8147379954152261
MDH-1103-3825,2024-07-09 22:00:00+00:00,1,0.5820101981888975
MDH-1106-6467,2024-07-09 19:00:00+00:00,0,0.3721292327326233
MDH-1120-5351,2024-07-09 22:00:00+00:00,0,0.3602741903777325
MDH-1120-6728,2024-07-09 20:00:00+00:00,0,0.4571667717024641
MDH-1158-0752,2024-07-09 19:00:00+00:00,0,0.040558069504647666
MDH-1164-2003,2024-07-09 22:00:00+00:00,0,0.48595307013207045
MDH-1174-3950,2024-07-09 19:00:00+00:00,1,0.04859983577117692
MDH-1177-1083,2024-07-09 19:00:00+00:00,0,0.7164042423423707
MDH-1179-2340,2024-07-09 19:00:00+00:00,0,0.06815480355466777
MDH-1201-9926,2024-07-09 19:00:00+00:00,1,0.9019530839576451
MDH-1204-9411,2024-07-09 19:00:00+00:00,1,0.9702104937281617
MDH-1220-7202,2024-07-09 19:00:00+00:00,0,0.3901603254648152
